A,size,NNZ,time,memory_usage,relative_error,host,platform,runtime_version,library,library_version
Flan_1565.mat,1564794,114165372,538.9329155,43646.982724,1.6777654401914014e-12,T14,WINDOWS,1.9.0,LinearAlgebra,1.9.0
StocF-1465.mat,1465137,21005389,483.8496448,39483.771832,2.38859103735993e-10,T14,WINDOWS,1.9.0,LinearAlgebra,1.9.0
cfd1.mat,70656,1825580,1.5867162,540.364248,6.175252089636572e-14,T14,WINDOWS,1.9.0,LinearAlgebra,1.9.0
cfd2.mat,123440,3085406,2.3403275,1019.363912,2.742635221668433e-13,T14,WINDOWS,1.9.0,LinearAlgebra,1.9.0
apache2.mat,715176,4817870,6.5242395,2346.681688,5.603586530796691e-11,T14,WINDOWS,1.9.0,LinearAlgebra,1.9.0
G3_circuit.mat,1585478,7660826,8.5971464,3070.810544,4.8845693805895814e-12,T14,WINDOWS,1.9.0,LinearAlgebra,1.9.0
parabolic_fem.mat,525825,3674625,2.0447654,771.372976,7.100187179773799e-13,T14,WINDOWS,1.9.0,LinearAlgebra,1.9.0
shallow_water1.mat,81920,327680,0.1469604,75.019952,2.016529302783865e-16,T14,WINDOWS,1.9.0,LinearAlgebra,1.9.0
ex15.mat,6867,98671,0.0166278,11.48252,5.814971198179812e-7,T14,WINDOWS,1.9.0,LinearAlgebra,1.9.0
